filename,model,task,filter_type,initial_score,final_score,initial_loss,final_loss,dd_pass,dd_time,initial_program,final_program,initial_tokens,final_tokens,len_initial_tokens,len_final_tokens,len_minimal_tokens,len_initial_chars,len_final_chars,len_minimal_chars,per_removed_chars,per_removed_tokens,attn_nodes,final_nodes,common_nodes,len_attn_nodes,len_final_nodes,len_common_nodes,per_common_tokens,ground_truth
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L123.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.5228251218795776, 'target': 0.9771463871002197}","{'location': 0.3108638823032379, 'target': 0.6732131242752075}","{'location': 0.879192590713501, 'target': 0.02311880514025688}","{'location': 1.1684000492095947, 'target': 0.3956933319568634}","{'n_total': 546, 'n_valid': 122, 'n_correct': 51}",7.460987,,,"['#NEWLINE#', 'def test_cancel_repeating(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', 'time', '=', 'TestingTimeFunction', '(', ')', '#NEWLINE#', 'callback', '=', 'MockCallback', '(', ')', '#NEWLINE#', 'timer', '=', 'Timer', '(', 'callback', ',', '10', ',', 'repeat', '=', 'True', ',', '_time_function', '=', 'time', ')', '#NEWLINE#', 'time', '.', 'time', '=', '10', '#NEWLINE#', 'timer', '.', 'run', '(', ')', '#NEWLINE#', 'time', '.', 'time', '=', '34', '#NEWLINE#', 'still_alive', '=', 'timer', '.', 'run', '(', ')', '#NEWLINE#', 'assert', 'still_alive', '#NEWLINE#', 'assert', '(', 'callback', '.', 'nb_calls', '==', '2', ')', '#NEWLINE#', 'assert', '(', 'timer', '.', 'sleep_time', '(', ')', '==', '6', ')', '#NEWLINE#', 'time', '.', 'time', '=', '40', '#NEWLINE#', 'timer', '.', 'cancel', '(', ')', '#NEWLINE#', 'for', 'time', '.', 'time', 'in', '(', '40', ',', '43', ',', '60', ',', '138', ')', ':', '#NEWLINE#', '#INDENT#', 'still_alive', '=', 'timer', '.', 'run', '(', ')', '#NEWLINE#', 'assert', '(', 'not', 'timer', ')', '#NEWLINE#', 'assert', '(', 'callback', '.', 'nb_calls', '==', '2', ')', '#NEWLINE#', 'assert', '(', 'timer', '.', 'sleep_time', '(', ')', '==', 'Decimal', '(', ""'inf'"", ')', ')']","['self', ')', '#INDENT#', 'time', '#NEWLINE#', 'callback', '#NEWLINE#', 'timer', '(', 'callback', 'time', 'time', 'time', 'timer', 'time', 'time', 'still_alive', '=', 'timer', 'assert', 'still_alive', 'callback', 'timer', 'time', 'time', 'timer', 'time', '.', 'time', 'in', '(', 'still_alive', '=', 'timer', 'timer', ')', 'assert', 'callback', 'assert', 'timer']",150,40,26,-1,-1,-1,-1.0,88.70967741935483,,"['self', ')', '#INDENT#', 'time', '#NEWLINE#', 'callback', '#NEWLINE#', 'timer', '(', 'callback', 'time', 'time', 'time', 'timer', 'time', 'time', 'still_alive', '=', 'timer', 'assert', 'still_alive', 'callback', 'timer', 'time', 'time', 'timer', 'time', '.', 'time', 'in', '(', 'still_alive', '=', 'timer', 'timer', ')', 'assert', 'callback', 'assert', 'timer']",,-1,40,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L128.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.7335347533226013, 'target': 0.9792449474334717}","{'location': 0.38039734959602356, 'target': 0.8322360515594482}","{'location': 1.3722481727600098, 'target': 0.020973466336727142}","{'location': 0.9665389657020569, 'target': 0.18363916873931885}","{'n_total': 79, 'n_valid': 13, 'n_correct': 7}",0.658402,,,"['#NEWLINE#', 'def env_items(', 'target_key', ',', 'entity', ',', '*', '_', ')', ':', '#NEWLINE#', '#INDENT#', 'return', 'recursive_targets', '(', '[', 'item', 'for', 'item', 'in', 'target_key', '.', 'env', '.', 'inven', ']', ',', 'target_key', ')']","['#NEWLINE#', 'def env_items(', 'target_key', ',', 'entity', ',', '*', '_', ')', '[', 'item', 'item', 'target_key', 'target_key', ')']",29,15,7,-1,-1,-1,-1.0,63.63636363636363,,"['#NEWLINE#', 'def env_items(', 'target_key', ',', 'entity', ',', '*', '_', ')', '[', 'item', 'item', 'target_key', 'target_key', ')']",,-1,15,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L133.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.5255950093269348, 'target': 0.9999853372573853}","{'location': 0.5674514174461365, 'target': 0.7697272896766663}","{'location': 0.761025071144104, 'target': 1.4662849935120903e-05}","{'location': 0.5666000843048096, 'target': 0.2617189884185791}","{'n_total': 165, 'n_valid': 34, 'n_correct': 19}",1.827245,,,"['#NEWLINE#', 'def test_get_random_returns_statement(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', 'statement', '=', 'Statement', '(', ""'New statement'"", ')', '#NEWLINE#', 'self', '.', 'adapter', '.', 'update', '(', 'statement', ')', '#NEWLINE#', 'random_statement', '=', 'self', '.', 'adapter', '.', 'get_random', '(', ')', '#NEWLINE#', 'self', '.', 'assertEqual', '(', 'statement', '.', 'text', ',', 'statement', '.', 'text', ')']","['self', '#INDENT#', 'statement', 'self', 'statement', 'random_statement', '=', 'self', '.', 'self', '(', 'statement', 'statement']",45,13,9,-1,-1,-1,-1.0,88.88888888888889,,"['self', '#INDENT#', 'statement', 'self', 'statement', 'random_statement', '=', 'self', '.', 'self', '(', 'statement', 'statement']",,-1,13,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L147.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.6602360606193542, 'target': 0.9997114539146423}","{'location': 0.7468042969703674, 'target': 0.9341452121734619}","{'location': 1.7186018228530884, 'target': 0.0002885877329390496}","{'location': 0.29195207357406616, 'target': 0.06812337785959244}","{'n_total': 221, 'n_valid': 56, 'n_correct': 23}",3.048877,,,"['#NEWLINE#', 'def _parse_domainname(', ')', ':', '#NEWLINE#', '#INDENT#', ""'\\n    Parse /etc/resolv.conf and return domainname\\n    '"", '#NEWLINE#', 'contents', '=', '_read_file', '(', '_DEB_RESOLV_FILE', ')', '#NEWLINE#', 'pattern', '=', ""'domain\\\\s+(?P<domain_name>\\\\S+)'"", '#NEWLINE#', 'prog', '=', 're', '.', 'compile', '(', 'contents', ')', '#NEWLINE#', 'for', 'item', 'in', 'contents', ':', '#NEWLINE#', '#INDENT#', 'match', '=', 'prog', '.', 'match', '(', 'item', ')', '#NEWLINE#', 'if', 'match', ':', '#NEWLINE#', '#INDENT#', 'return', 'match', '.', 'group', '(', ""'domain_name'"", ')', '#NEWLINE#', '#UNINDENT#', '#UNINDENT#', 'return', ""''""]","[""'\\n    Parse /etc/resolv.conf and return domainname\\n    '"", '#NEWLINE#', 'contents', 'pattern', ""'domain\\\\s+(?P<domain_name>\\\\S+)'"", '#NEWLINE#', 'prog', '=', 'contents', ')', 'item', 'contents', 'match', 'prog', 'match', 'item', 'match', 'match']",61,18,12,-1,-1,-1,-1.0,87.75510204081633,,"[""'\\n    Parse /etc/resolv.conf and return domainname\\n    '"", '#NEWLINE#', 'contents', 'pattern', ""'domain\\\\s+(?P<domain_name>\\\\S+)'"", '#NEWLINE#', 'prog', '=', 'contents', ')', 'item', 'contents', 'match', 'prog', 'match', 'item', 'match', 'match']",,-1,18,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L170.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.5080277323722839, 'target': 0.9999765157699585}","{'location': 0.5348954200744629, 'target': 0.8228667974472046}","{'location': 0.7094438672065735, 'target': 2.3484506527893245e-05}","{'location': 0.6256839632987976, 'target': 0.19496093690395355}","{'n_total': 64, 'n_valid': 14, 'n_correct': 8}",0.714468,,,"['#NEWLINE#', 'def group_exists(', 'self', ',', 'group_name', ')', ':', '#NEWLINE#', '#INDENT#', '""\\n        Returns :data:`True` if the given group exist, :data:`False` otherwise.\\n\\n        :param group_name: Name of the group to verify.\\n        :type group_name: :class:`str`\\n        :return: Whether the group exists or not.\\n        :rtype: :class:`bool`\\n\\n        Example:\\n        ::\\n\\n            class MySampleRole(Role):\\n                def provision(self):\\n                    with self.using(UserRole) as role:\\n                        if role.group_exists(\'usersgroup\'):\\n                            pass\\n        ""', '#NEWLINE#', 'values', '=', 'self', '.', '__first_values_from', '(', ""'group'"", ')', '#NEWLINE#', 'return', '(', 'group_name', 'in', 'group_name', ')']","['self', 'group_name', ')', 'values', '=', 'self', '.', 'return', '(', 'group_name', 'in', 'group_name', ')']",26,13,6,-1,-1,-1,-1.0,65.0,,"['self', 'group_name', ')', 'values', '=', 'self', '.', 'return', '(', 'group_name', 'in', 'group_name', ')']",,-1,13,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L174.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.7563077211380005, 'target': 0.8773185014724731}","{'location': 0.2729322016239166, 'target': 0.5535376071929932}","{'location': 2.6735968589782715, 'target': 0.13088518381118774}","{'location': 1.2985318899154663, 'target': 0.5914255976676941}","{'n_total': 622, 'n_valid': 173, 'n_correct': 37}",10.106361,,,"['#NEWLINE#', 'def rs_integrate(', 'p', ',', 'x', ')', ':', '#NEWLINE#', '#INDENT#', '""\\n    Integrate ``p`` with respect to ``x``.\\n\\n    Parameters\\n    ----------\\n    x : :class:`PolyElement` with respect to which ``p`` is integrated.\\n\\n    Examples\\n    ========\\n\\n    >>> from sympy.polys.domains import QQ\\n    >>> from sympy.polys.rings import ring\\n    >>> from sympy.polys.ring_series import rs_integrate\\n    >>> R, x, y = ring(\'x, y\', QQ)\\n    >>> p = x + x**2*y**3\\n    >>> rs_integrate(p, x)\\n    1/3*x**3*y**3 + 1/2*x**2\\n    ""', '#NEWLINE#', 'R', '=', 'p', '.', 'ring', '#NEWLINE#', 'p1', '=', 'R', '.', 'zero', '#NEWLINE#', 'n', '=', 'R', '.', 'gens', '.', 'index', '(', 'x', ')', '#NEWLINE#', 'mn', '=', '(', '[', '0', ']', '*', 'R', '.', 'ngens', ')', '#NEWLINE#', 'mn', '[', 'n', ']', '=', '1', '#NEWLINE#', 'mn', '=', 'tuple', '(', 'p1', ')', '#NEWLINE#', 'for', 'expv', 'in', 'p', ':', '#NEWLINE#', '#INDENT#', 'e', '=', 'monomial_mul', '(', 'expv', ',', 'mn', ')', '#NEWLINE#', 'p1', '[', 'e', ']', '=', '(', 'p', '[', 'expv', ']', '/', '(', 'expv', '[', 'n', ']', '+', '1', ')', ')', '#NEWLINE#', '#UNINDENT#', 'return', 'p1']","['p', 'x', '#NEWLINE#', 'R', '=', 'p', '.', 'p1', 'R', 'n', 'R', '(', 'x', '#NEWLINE#', 'mn', '=', 'R', '#NEWLINE#', 'mn', 'n', ']', '1', 'mn', '=', 'tuple', '(', 'p1', '#NEWLINE#', 'for', 'expv', 'in', 'p', ':', 'e', '(', 'expv', 'mn', '#NEWLINE#', 'p1', 'e', 'p', '[', 'expv', 'expv', '[', 'n', ']', 'p1']",100,48,27,-1,-1,-1,-1.0,71.23287671232876,,"['p', 'x', '#NEWLINE#', 'R', '=', 'p', '.', 'p1', 'R', 'n', 'R', '(', 'x', '#NEWLINE#', 'mn', '=', 'R', '#NEWLINE#', 'mn', 'n', ']', '1', 'mn', '=', 'tuple', '(', 'p1', '#NEWLINE#', 'for', 'expv', 'in', 'p', ':', 'e', '(', 'expv', 'mn', '#NEWLINE#', 'p1', 'e', 'p', '[', 'expv', 'expv', '[', 'n', ']', 'p1']",,-1,48,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L190.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.7869272828102112, 'target': 0.9933857321739197}","{'location': 0.5427665710449219, 'target': 0.9664280414581299}","{'location': 1.730972409248352, 'target': 0.006636239122599363}","{'location': 0.6110758185386658, 'target': 0.0341484360396862}","{'n_total': 309, 'n_valid': 68, 'n_correct': 35}",3.927895,,,"['#NEWLINE#', 'def test_custom_serializer(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', 'config', '=', 'SerializationConfig', '(', ')', '#NEWLINE#', 'config', '.', 'set_custom_serializer', '(', 'CustomClass', ',', 'CustomSerializer', ')', '#NEWLINE#', 'service', '=', 'SerializationServiceV1', '(', 'serialization_config', '=', 'config', ')', '#NEWLINE#', 'obj', '=', 'CustomClass', '(', ""'uid'"", ',', ""'some name'"", ',', ""'description text'"", ')', '#NEWLINE#', 'data', '=', 'service', '.', 'to_data', '(', 'obj', ')', '#NEWLINE#', 'obj2', '=', 'service', '.', 'to_object', '(', 'obj', ')', '#NEWLINE#', 'self', '.', 'assertEqual', '(', 'obj', ',', 'obj2', ')', '#NEWLINE#', 'self', '.', 'assertEqual', '(', ""'CUSTOM'"", ',', 'obj2', '.', 'source', ')']","['self', 'config', 'config', 'service', 'config', 'obj', '#NEWLINE#', 'data', '=', 'service', 'obj', 'obj2', 'service', 'obj', '#NEWLINE#', 'self', '(', 'obj', 'obj2', ')', '#NEWLINE#', 'self', 'obj2']",79,23,17,-1,-1,-1,-1.0,90.32258064516128,,"['self', 'config', 'config', 'service', 'config', 'obj', '#NEWLINE#', 'data', '=', 'service', 'obj', 'obj2', 'service', 'obj', '#NEWLINE#', 'self', '(', 'obj', 'obj2', ')', '#NEWLINE#', 'self', 'obj2']",,-1,23,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L238.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.43075352907180786, 'target': 0.9952670335769653}","{'location': 0.2896687984466553, 'target': 0.9740323424339294}","{'location': 2.565134048461914, 'target': 0.004744202364236116}","{'location': 1.2390170097351074, 'target': 0.026310769841074944}","{'n_total': 1139, 'n_valid': 485, 'n_correct': 95}",36.30095,,,"['#NEWLINE#', 'def start(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', ""'Start the master loop and get messages from the requests queue.\\n        The command messages are lists where the first element is the\\n        actual command, followed by the command parameters.\\n        '"", '#NEWLINE#', 'handlers', '=', '{', '#NEWLINE#', '#INDENT#', ""'EXIT'"", ':', 'self', '.', '_handle_exit', ',', '#NEWLINE#', ""'JOBS'"", ':', 'self', '.', '_handle_jobs', ',', '#NEWLINE#', ""'SUBMIT'"", ':', 'self', '.', '_handle_submit', ',', '#NEWLINE#', ""'WAIT'"", ':', 'self', '.', '_handle_wait', ',', '#NEWLINE#', ""'DONE'"", ':', 'self', '.', '_handle_done', ',', '#NEWLINE#', ""'FAILED'"", ':', 'self', '.', '_handle_failed', ',', '#NEWLINE#', ""'CANCEL'"", ':', 'self', '.', '_handle_cancel', ',', '#NEWLINE#', '#UNINDENT#', '}', '#NEWLINE#', 'while', 'True', ':', '#NEWLINE#', '#INDENT#', 'if', '(', 'self', '.', 'wait_mode', 'and', '(', 'self', '.', '_num_jobs', '(', ')', '==', '0', ')', ')', ':', '#NEWLINE#', '#INDENT#', 'break', '#NEWLINE#', '#UNINDENT#', 'try', ':', '#NEWLINE#', '#INDENT#', 'msg', '=', 'self', '.', 'requests', '.', 'get', '(', ')', '#NEWLINE#', '#UNINDENT#', 'except', 'KeyboardInterrupt', 'as', 'err', ':', '#NEWLINE#', '#INDENT#', 'self', '.', 'log', '.', 'warn', '(', ""'Server process canceled'"", ')', '#NEWLINE#', 'continue', '#NEWLINE#', '#UNINDENT#', 'self', '.', 'log', '.', 'debug', '(', ""'Master | received command: %s'"", ',', 'msg', ')', '#NEWLINE#', 'try', ':', '#NEWLINE#', '#INDENT#', 'command', '=', 'msg', '[', '0', ']', '#NEWLINE#', 'handler', '=', 'handlers', '[', 'err', ']', '#NEWLINE#', 'if', '(', 'not', 'handler', '(', '*', 'msg', ')', ')', ':', '#NEWLINE#', '#INDENT#', 'break', '#NEWLINE#', '#UNINDENT#', '#UNINDENT#', 'except', 'Exception', 'as', 'err', ':', '#NEWLINE#', '#INDENT#', 'self', '.', 'log', '.', 'error', '(', ""'Master | error while handling message %s : %s'"", ',', 'msg', ',', 'str', '(', 'err', ')', ',', 'exc_info', '=', 'True', ')', '#NEWLINE#', 'break', '#NEWLINE#', '#UNINDENT#', '#UNINDENT#', 'self', '.', 'log', '.', 'info', '(', ""'Master | Master loop terminated'"", ')']","['self', 'handlers', 'self', '.', ""'JOBS'"", 'self', 'self', '.', '_handle_submit', ':', 'self', '.', '_handle_wait', ',', '#NEWLINE#', ""'DONE'"", ':', 'self', '.', '_handle_done', ',', '#NEWLINE#', ""'FAILED'"", ':', 'self', '.', '_handle_failed', ',', ':', 'self', '#NEWLINE#', 'while', 'True', ':', '#NEWLINE#', '#INDENT#', 'if', '(', 'self', 'self', '#INDENT#', 'msg', 'self', 'err', 'self', 'self', 'msg', '#INDENT#', 'command', '=', 'msg', '0', 'handler', 'handlers', 'err', 'handler', 'msg', 'as', 'err', ':', '#INDENT#', 'self', '.', ',', 'msg', ',', 'err', '#UNINDENT#', '#UNINDENT#', 'self']",211,70,29,-1,-1,-1,-1.0,77.47252747252747,,"['self', 'handlers', 'self', '.', ""'JOBS'"", 'self', 'self', '.', '_handle_submit', ':', 'self', '.', '_handle_wait', ',', '#NEWLINE#', ""'DONE'"", ':', 'self', '.', '_handle_done', ',', '#NEWLINE#', ""'FAILED'"", ':', 'self', '.', '_handle_failed', ',', ':', 'self', '#NEWLINE#', 'while', 'True', ':', '#NEWLINE#', '#INDENT#', 'if', '(', 'self', 'self', '#INDENT#', 'msg', 'self', 'err', 'self', 'self', 'msg', '#INDENT#', 'command', '=', 'msg', '0', 'handler', 'handlers', 'err', 'handler', 'msg', 'as', 'err', ':', '#INDENT#', 'self', '.', ',', 'msg', ',', 'err', '#UNINDENT#', '#UNINDENT#', 'self']",,-1,70,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L239.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.9438869953155518, 'target': 0.998360812664032}","{'location': 0.9279577136039734, 'target': 0.5159213542938232}","{'location': 2.9004108905792236, 'target': 0.0016405322821810842}","{'location': 0.07476920634508133, 'target': 0.6618009209632874}","{'n_total': 158, 'n_valid': 26, 'n_correct': 14}",1.397123,,,"['#NEWLINE#', 'def __call__(', 'self', ',', 'element', ',', 'ranges', '=', '{', '#NEWLINE#', '#INDENT#', '#NEWLINE#', '#UNINDENT#', '}', ',', 'keys', '=', 'None', ',', '**params', ')', ':', '#NEWLINE#', '#INDENT#', 'params', '=', 'dict', '(', 'params', ',', 'ranges', '=', 'ranges', ',', 'keys', '=', 'keys', ')', '#NEWLINE#', 'return', 'super', '(', 'Normalization', ',', 'self', ')', '.', '__call__', '(', 'self', ',', '**', 'params', ')']","['self', 'element', ',', 'ranges', '=', '{', '#UNINDENT#', 'keys', '=', '#NEWLINE#', '#INDENT#', 'params', '=', 'params', ',', 'ranges', 'ranges', ',', 'keys', '=', 'keys', ')', 'self', ')', '(', 'self', 'params', ')']",54,28,13,-1,-1,-1,-1.0,63.41463414634146,,"['self', 'element', ',', 'ranges', '=', '{', '#UNINDENT#', 'keys', '=', '#NEWLINE#', '#INDENT#', 'params', '=', 'params', ',', 'ranges', 'ranges', ',', 'keys', '=', 'keys', ')', 'self', ')', '(', 'self', 'params', ')']",,-1,28,-1,-1.0,False
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L283.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': True, 'bug_kind': 1, 'dd_bug': 'buggy_wrong_location'}","{'location': 0.8891472220420837, 'target': 0.9999996423721313}","{'location': 0.5202872157096863, 'target': 0.9999986290931702}","{'location': 2.3126909732818604, 'target': 3.576279254957626e-07}","{'location': 0.6533742547035217, 'target': 1.3709077393286861e-06}","{'n_total': 207, 'n_valid': 62, 'n_correct': 5}",3.409897,,,"['#NEWLINE#', 'def new_form(', 'domain', '=', 'DOMAIN', ',', 'app_id', '=', 'DEFAULT_APP_ID', ',', 'xmlns', '=', 'DEFAULT_XMLNS', ',', '**kwargs', ')', ':', '#NEWLINE#', '#INDENT#', 'kwargs', '[', ""'_id'"", ']', '=', 'kwargs', '.', 'get', '(', ""'_id'"", ',', 'uuid', '.', 'uuid4', '(', ')', '.', 'hex', ')', '#NEWLINE#', 'return', 'XFormInstance', '(', 'domain', '=', 'domain', ',', 'app_id', '=', 'app_id', ',', 'xmlns', '=', 'app_id', ',', '**', 'kwargs', ')']","['def new_form(', 'domain', 'DOMAIN', ',', 'app_id', '=', 'DEFAULT_APP_ID', 'xmlns', '=', 'DEFAULT_XMLNS', ',', '**kwargs', ')', ':', '#NEWLINE#', '#INDENT#', 'kwargs', '[', ""'_id'"", ']', '=', 'kwargs', '.', 'get', '(', ""'_id'"", ',', 'uuid', '.', 'uuid4', '(', ')', '.', 'hex', ')', '#NEWLINE#', 'XFormInstance', '(', 'domain', '=', 'domain', ',', 'app_id', '=', 'app_id', ',', 'xmlns', '=', 'app_id', ',', '**', 'kwargs', ')']",57,53,12,-1,-1,-1,-1.0,8.88888888888889,,"['def new_form(', 'domain', 'DOMAIN', ',', 'app_id', '=', 'DEFAULT_APP_ID', 'xmlns', '=', 'DEFAULT_XMLNS', ',', '**kwargs', ')', ':', '#NEWLINE#', '#INDENT#', 'kwargs', '[', ""'_id'"", ']', '=', 'kwargs', '.', 'get', '(', ""'_id'"", ',', 'uuid', '.', 'uuid4', '(', ')', '.', 'hex', ')', '#NEWLINE#', 'XFormInstance', '(', 'domain', '=', 'domain', ',', 'app_id', '=', 'app_id', ',', 'xmlns', '=', 'app_id', ',', '**', 'kwargs', ')']",,-1,53,-1,-1.0,False
