filename,model,task,filter_type,initial_score,final_score,initial_loss,final_loss,dd_pass,dd_time,initial_program,final_program,initial_tokens,final_tokens,len_initial_tokens,len_final_tokens,len_minimal_tokens,len_initial_chars,len_final_chars,len_minimal_chars,per_removed_chars,per_removed_tokens,attn_nodes,final_nodes,common_nodes,len_attn_nodes,len_final_nodes,len_common_nodes,per_common_tokens,ground_truth
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L20.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9981145858764648, 'target': 0.0}","{'location': 0.9987635612487793, 'target': 0.0}","{'location': 0.0018869704799726605, 'target': 0.0}","{'location': 0.0012372228084132075, 'target': 0.0}","{'n_total': 178, 'n_valid': 32, 'n_correct': 26}",1.715608,,,"['#NEWLINE#', 'def test_list_locations_success(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', 'locations', '=', 'self', '.', 'driver', '.', 'list_locations', '(', ')', '#NEWLINE#', 'self', '.', 'assertTrue', '(', '(', 'len', '(', 'locations', ')', '>=', '1', ')', ')', '#NEWLINE#', 'location', '=', 'locations', '[', '0', ']', '#NEWLINE#', 'self', '.', 'assertEqual', '(', 'location', '.', 'id', ',', ""'1'"", ')', '#NEWLINE#', 'self', '.', 'assertEqual', '(', 'location', '.', 'name', ',', ""'New Jersey'"", ')']","['#NEWLINE#', 'self', 'locations', 'self', 'self', 'locations', 'location', 'locations', 'self', 'location', 'self', 'location']",59,12,12,-1,-1,-1,-1.0,100.0,"['self', 'locations', 'location', 'location', 'location', 'self', '#NEWLINE#', 'locations', 'locations', 'self', ')', 'self']","['#NEWLINE#', 'self', 'locations', 'self', 'self', 'locations', 'location', 'locations', 'self', 'location', 'self', 'location']","['#NEWLINE#', 'self', 'locations', 'self', 'self', 'locations', 'location', 'locations', 'self', 'location', 'self', 'location']",12,12,12,100.0,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L22.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9991419315338135, 'target': 0.0}","{'location': 0.9983826875686646, 'target': 0.0}","{'location': 0.0008582960581406951, 'target': 0.0}","{'location': 0.001618624315597117, 'target': 0.0}","{'n_total': 154, 'n_valid': 19, 'n_correct': 18}",0.988615,,,"['#NEWLINE#', 'def __init__(', 'self', ',', 'devices', ',', 'connections', ')', ':', '#NEWLINE#', '#INDENT#', 'self', '.', 'devices', '=', 'devices', '#NEWLINE#', 'self', '.', 'connections', '=', 'connections', '#NEWLINE#', 'self', '.', '_devices', '=', '{', '#NEWLINE#', '#INDENT#', '#NEWLINE#', '#UNINDENT#', '}', '#NEWLINE#', 'self', '.', '_connections', '=', '{', '#NEWLINE#', '#INDENT#', '#NEWLINE#', '#UNINDENT#', '}']","['#NEWLINE#', 'self', 'devices', 'connections', 'self', 'devices', 'devices', 'self', 'connections', 'connections', 'self', 'self']",44,12,12,-1,-1,-1,-1.0,100.0,"['connections', 'connections', 'self', 'devices', 'devices', 'self', '}', 'self', 'self', '#NEWLINE#', 'self', ',']","['#NEWLINE#', 'self', 'devices', 'connections', 'self', 'devices', 'devices', 'self', 'connections', 'connections', 'self', 'self']","['#NEWLINE#', 'self', 'devices', 'connections', 'self', 'devices', 'devices', 'self', 'connections', 'connections', 'self', 'self']",12,12,12,100.0,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L23.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9990743398666382, 'target': 0.0}","{'location': 0.7503652572631836, 'target': 0.0}","{'location': 0.0009261847590096295, 'target': 0.0}","{'location': 0.2871951460838318, 'target': 0.0}","{'n_total': 87, 'n_valid': 15, 'n_correct': 13}",0.769498,,,"['#NEWLINE#', 'def initialize_connection(', 'self', ',', 'name', ')', ':', '#NEWLINE#', '#INDENT#', 'connection_config', '=', 'self', '.', 'connections', '[', 'name', ']', '#NEWLINE#', 'connection', '=', 'Connection', '(', 'connection_config', ')', '#NEWLINE#', 'return', 'connection']","['#NEWLINE#', 'self', 'name', 'connection_config', 'self', 'name', '#NEWLINE#', 'connection', 'connection_config', 'connection']",27,10,9,-1,-1,-1,-1.0,94.44444444444444,"['self', 'connection', 'name', 'connection_config', 'name', 'self', 'connection', 'return', 'connection_config', '#NEWLINE#']","['#NEWLINE#', 'self', 'name', 'connection_config', 'self', 'name', '#NEWLINE#', 'connection', 'connection_config', 'connection']","['#NEWLINE#', 'self', 'name', 'connection_config', 'self', 'name', '#NEWLINE#', 'connection', 'connection_config', 'connection']",10,10,10,100.0,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L24.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.995978832244873, 'target': 0.0}","{'location': 0.9998205304145813, 'target': 0.0}","{'location': 0.004029014613479376, 'target': 0.0}","{'location': 0.00017963226127903908, 'target': 0.0}","{'n_total': 207, 'n_valid': 35, 'n_correct': 31}",1.899682,,,"['#NEWLINE#', 'def test_touch_offline_conductor(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', 'c', '=', 'self', '.', '_create_test_cdr', '(', ')', '#NEWLINE#', 'self', '.', 'dbapi', '.', 'unregister_conductor', '(', 'c', '.', 'hostname', ')', '#NEWLINE#', 'self', '.', 'assertRaises', '(', 'exception', '.', 'ConductorNotFound', ',', 'self', '.', 'dbapi', '.', 'get_conductor', ',', 'c', '.', 'hostname', ')', '#NEWLINE#', 'self', '.', 'dbapi', '.', 'touch_conductor', '(', 'c', '.', 'hostname', ')', '#NEWLINE#', 'self', '.', 'dbapi', '.', 'get_conductor', '(', 'c', '.', 'hostname', ')']","['#NEWLINE#', 'self', 'c', 'self', 'self', 'c', 'self', 'self', 'c', 'self', 'c', 'self', 'c']",66,13,13,-1,-1,-1,-1.0,100.0,"['self', 'self', 'c', 'c', 'c', 'self', '#NEWLINE#', 'c', 'c', 'self', 'self', 'self', ')']","['#NEWLINE#', 'self', 'c', 'self', 'self', 'c', 'self', 'self', 'c', 'self', 'c', 'self', 'c']","['#NEWLINE#', 'self', 'c', 'self', 'self', 'c', 'self', 'self', 'c', 'self', 'c', 'self', 'c']",13,13,13,100.0,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L25.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.999636173248291, 'target': 0.0}","{'location': 0.8720625638961792, 'target': 0.0}","{'location': 0.00036399890086613595, 'target': 0.0}","{'location': 0.136894091963768, 'target': 0.0}","{'n_total': 42, 'n_valid': 6, 'n_correct': 6}",0.272035,,,"['#NEWLINE#', 'def set_default(', 'self', ',', 'name', ')', ':', '#NEWLINE#', '#INDENT#', ""' set default authentication method '"", '#NEWLINE#', 'self', '.', 'default', '=', 'self', '.', 'binding', '[', 'name', ']']","['#NEWLINE#', 'self', 'name', '#NEWLINE#', 'self', 'self', '.', 'name', ']']",21,9,6,-1,-1,-1,-1.0,80.0,"['self', 'name', 'name', 'self', 'self', '#NEWLINE#', ']', ""' set default authentication method '"", ',']","['#NEWLINE#', 'self', 'name', '#NEWLINE#', 'self', 'self', '.', 'name', ']']","['#NEWLINE#', 'self', 'name', '#NEWLINE#', 'self', 'self', 'name', ']']",9,9,8,88.88888888888889,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L26.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9996868371963501, 'target': 0.0}","{'location': 0.7255731225013733, 'target': 0.0}","{'location': 0.0003131137927994132, 'target': 0.0}","{'location': 0.32079339027404785, 'target': 0.0}","{'n_total': 139, 'n_valid': 26, 'n_correct': 22}",1.379785,,,"['#NEWLINE#', 'def setUp(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', 'ChannelPluginTestCase', '.', 'setUp', '(', 'self', ')', '#NEWLINE#', 'self', '.', 'prefix', '=', ""'news!bar@baz'"", '#NEWLINE#', 'self', '.', 'irc', '.', 'feedMsg', '(', 'ircmsgs', '.', 'privmsg', '(', 'self', '.', 'nick', ',', ""'register tester moo'"", ',', 'prefix', '=', 'self', '.', 'prefix', ')', ')', '#NEWLINE#', 'm', '=', 'self', '.', 'irc', '.', 'takeMsg', '(', ')']","['#NEWLINE#', 'self', 'self', 'self', 'self', 'self', '=', 'self', 'm', 'self']",53,10,9,-1,-1,-1,-1.0,97.72727272727272,"['self', 'self', 'm', 'self', 'self', 'self', '#NEWLINE#', 'self', 'self', 'ChannelPluginTestCase']","['#NEWLINE#', 'self', 'self', 'self', 'self', 'self', '=', 'self', 'm', 'self']","['#NEWLINE#', 'self', 'self', 'self', 'self', 'self', 'self', 'm', 'self']",10,10,9,90.0,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L27.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9455429911613464, 'target': 0.0}","{'location': 0.9992115497589111, 'target': 0.0}","{'location': 0.05599578469991684, 'target': 0.0}","{'location': 0.0007888542604632676, 'target': 0.0}","{'n_total': 54, 'n_valid': 8, 'n_correct': 8}",0.383214,,,"['#NEWLINE#', 'def visitClass(', 'self', ',', 'node', ',', '*', 'args', ')', ':', '#NEWLINE#', '#INDENT#', 'self', '.', '_add_declared', '(', 'node', '.', 'name', ')']","['#NEWLINE#', 'self', 'node', 'args', 'self', '.', '_add_declared', '(', 'node']",20,9,6,-1,-1,-1,-1.0,78.57142857142857,"['args', 'self', 'node', 'node', 'self', '#NEWLINE#', ',', '#NEWLINE#', '*']","['#NEWLINE#', 'self', 'node', 'args', 'self', '.', '_add_declared', '(', 'node']","['#NEWLINE#', 'self', 'node', 'args', 'self', 'node']",9,9,6,66.66666666666666,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L28.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9861948490142822, 'target': 0.0}","{'location': 0.9997267127037048, 'target': 0.0}","{'location': 0.013901199214160442, 'target': 0.0}","{'location': 0.0002734287118073553, 'target': 0.0}","{'n_total': 172, 'n_valid': 27, 'n_correct': 25}",1.441268,,,"['#NEWLINE#', 'def visitFor(', 'self', ',', 'node', ',', '*', 'args', ')', ':', '#NEWLINE#', '#INDENT#', 'self', '.', 'visit', '(', 'node', '.', 'list', ',', '*', 'args', ')', '#NEWLINE#', 'self', '.', 'visit', '(', 'node', '.', 'assign', ',', '*', 'args', ')', '#NEWLINE#', 'self', '.', 'visit', '(', 'node', '.', 'body', ',', '*', 'args', ')']","['#NEWLINE#', 'self', 'node', 'args', 'self', 'node', 'args', 'self', 'node', 'args', 'self', 'node', 'args']",47,13,13,-1,-1,-1,-1.0,100.0,"['self', 'args', 'args', 'args', 'args', 'node', 'node', 'node', 'self', 'self', '#NEWLINE#', 'node', ',']","['#NEWLINE#', 'self', 'node', 'args', 'self', 'node', 'args', 'self', 'node', 'args', 'self', 'node', 'args']","['#NEWLINE#', 'self', 'node', 'args', 'self', 'node', 'args', 'self', 'node', 'args', 'self', 'node', 'args']",13,13,13,100.0,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L29.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9655902981758118, 'target': 0.0}","{'location': 0.9995434880256653, 'target': 0.0}","{'location': 0.035015564411878586, 'target': 0.0}","{'location': 0.00045658653834834695, 'target': 0.0}","{'n_total': 166, 'n_valid': 26, 'n_correct': 26}",1.39483,,,"['#NEWLINE#', 'def test_envelope(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', 'e', '=', 'self', '.', 'g3', '.', 'envelope', '#NEWLINE#', 'self', '.', 'assertTrue', '(', 'np', '.', 'alltrue', '(', 'e', '.', 'geom_equals', '(', 'self', '.', 'sq', ')', ')', ')', '#NEWLINE#', 'self', '.', 'assertIsInstance', '(', 'e', ',', 'GeoSeries', ')', '#NEWLINE#', 'self', '.', 'assertEqual', '(', 'self', '.', 'g3', '.', 'crs', ',', 'e', '.', 'crs', ')']","['#NEWLINE#', 'self', 'e', 'self', 'self', 'e', 'self', 'self', 'e', 'self', 'self', 'e']",57,12,12,-1,-1,-1,-1.0,100.0,"['e', 'self', 'self', 'e', 'self', 'self', 'e', 'e', '#NEWLINE#', 'self', 'self', 'g3']","['#NEWLINE#', 'self', 'e', 'self', 'self', 'e', 'self', 'self', 'e', 'self', 'self', 'e']","['#NEWLINE#', 'self', 'e', 'self', 'self', 'e', 'self', 'self', 'e', 'self', 'self', 'e']",12,12,12,100.0,True
eval__VARIABLE_MISUSE__SStuB.txt-00000-of-00300___L31.txt,Transformer,VARIABLE_MISUSE,"{'has_bug': False, 'bug_kind': 0, 'dd_bug': 'non_buggy_correct'}","{'location': 0.9418162107467651, 'target': 0.0}","{'location': 0.6719785332679749, 'target': 0.0}","{'location': 0.05994515120983124, 'target': 0.0}","{'location': 0.39752885699272156, 'target': 0.0}","{'n_total': 426, 'n_valid': 104, 'n_correct': 43}",5.835833,,,"['#NEWLINE#', 'def process(', 'self', ')', ':', '#NEWLINE#', '#INDENT#', ""'Execute the best-match processor for the given media type.'"", '#NEWLINE#', 'proc', '=', 'None', '#NEWLINE#', 'ct', '=', 'self', '.', 'content_type', '.', 'value', '#NEWLINE#', 'try', ':', '#NEWLINE#', '#INDENT#', 'proc', '=', 'self', '.', 'processors', '[', 'ct', ']', '#NEWLINE#', '#UNINDENT#', 'except', 'KeyError', ':', '#NEWLINE#', '#INDENT#', 'toptype', '=', 'ct', '.', 'split', '(', ""'/'"", ',', '1', ')', '[', '0', ']', '#NEWLINE#', 'try', ':', '#NEWLINE#', '#INDENT#', 'proc', '=', 'self', '.', 'processors', '[', 'toptype', ']', '#NEWLINE#', '#UNINDENT#', 'except', 'KeyError', ':', '#NEWLINE#', '#INDENT#', 'pass', '#NEWLINE#', '#UNINDENT#', '#UNINDENT#', 'if', '(', 'proc', 'is', 'None', ')', ':', '#NEWLINE#', '#INDENT#', 'self', '.', 'default_proc', '(', ')', '#NEWLINE#', '#UNINDENT#', 'else', ':', '#NEWLINE#', '#INDENT#', 'proc', '(', 'self', ')']","['#NEWLINE#', 'self', 'proc', 'ct', 'self', 'proc', 'self', 'ct', 'toptype', 'ct', 'proc', 'self', 'toptype', 'proc', 'self', 'proc', 'self']",101,17,17,-1,-1,-1,-1.0,100.0,"['self', 'self', 'proc', 'self', 'proc', 'ct', 'ct', 'proc', 'toptype', 'toptype', 'ct', ')', 'proc', 'self', 'proc', '#NEWLINE#', 'except']","['#NEWLINE#', 'self', 'proc', 'ct', 'self', 'proc', 'self', 'ct', 'toptype', 'ct', 'proc', 'self', 'toptype', 'proc', 'self', 'proc', 'self']","['#NEWLINE#', 'self', 'proc', 'ct', 'self', 'proc', 'self', 'ct', 'toptype', 'ct', 'proc', 'self', 'toptype', 'proc', 'self', 'proc', 'self']",17,17,17,100.0,True
